date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:35	28839/28839	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:35%20GMT	https://bcc.ca.gov/clear/videos/file_complaint.html	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/videos/file_complaint.html	(from https://bcc.ca.gov/clear/e_learning.html)
11:54:40	500150/500150	---M--	200	added ('OK')	application/pdf	etag:%227a1b6-5aecf1b894ec0%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise1.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise1.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:40	1371531/1371531	---M--	200	added ('OK')	application/pdf	etag:%2214ed8b-5aecf30752480%22	https://bcc.ca.gov/clear/qrg_paying.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/qrg_paying.pdf	(from https://bcc.ca.gov/clear/e_learning.html)
11:54:42	542511/542511	---M--	200	added ('OK')	application/pdf	etag:%228472f-5aecf1b989100%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise2.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise2.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:43	470894/470894	---M--	200	added ('OK')	application/pdf	etag:%2272f6e-5aecf1c21e540%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise_sp1.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise_sp1.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:43	1362397/1362397	---M--	200	added ('OK')	application/pdf	etag:%2214c9dd-5aecf3065e240%22	https://bcc.ca.gov/clear/qrg_complaint.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/qrg_complaint.pdf	(from https://bcc.ca.gov/clear/e_learning.html)
11:54:43	471045/471045	---M--	200	added ('OK')	application/pdf	etag:%2273005-5aecf1c4069c0%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise_sp3.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise_sp3.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:44	516647/516647	---M--	200	added ('OK')	application/pdf	etag:%227e227-5aecf1bb71580%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise3.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise3.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:44	506239/506239	---M--	200	added ('OK')	application/pdf	etag:%227b97f-5aecf1bc657c0%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise4.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise4.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:44	480732/480732	---M--	200	added ('OK')	application/pdf	etag:%22755dc-5aecf1c4fac00%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise_sp4.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise_sp4.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:45	507853/507853	---M--	200	added ('OK')	application/pdf	etag:%227bfcd-5aecf1c6e3080%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise_sp5.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise_sp5.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:45	505829/505829	---M--	200	added ('OK')	application/pdf	etag:%227b7e5-5aecf1be4dc40%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise5.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise5.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
11:54:45	502058/502058	---M--	200	added ('OK')	application/pdf	etag:%227a92a-5aecf1c7d72c0%22	https://bcc.ca.gov/about_us/documents/weedwise/weedwise_sp6.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/weedwise/weedwise_sp6.pdf	(from https://bcc.ca.gov/consumers/weedwise.html)
